user_name,rating,comment,images,created_at,thank_count,product_id,product_name
minh khue,5,"Đã từng đọc 2 cuốn của tác giả: Một đời quản trị và Một đời thương thuyết cảm nhận cá nhân khá hay và có những góc nhìn mới mẻ. Đối với cuốn này thì đọc đến gần nửa cuốn mình mới thấy những ví dụ và phân tích thuyết phục. Nửa đầu cuốn sách có nhiều ví dụ và nhận định mang cảm nhận chủ quan mặc dù cuốn sách đang nói về tư duy hệ thống, suy nghĩ đơn tuyến và đa tuyến. Tuy nhiên càng về sau thì càng hay và có nhiều góc nhìn được đúc rúc và suy ngẫm. Túm lại cũng là một trong những lựa chọn tốt để trải nghiệm.",[],13/05/25,0,277809376,Tư duy dã tràng - Tim trí giao tranh
Thái Trương,5,"giao hàng đúng hẹn, anh shipper thân thiện, sách hay.",[],12/05/25,0,277809376,Tư duy dã tràng - Tim trí giao tranh
Nguyễn Thanh Hưng,5,"Sách hay, in ấn đẹp. Tiki đóng gói, bọc và chèn lót sách cẩn thận. Rất ưng ý. Xin cảm ơn.",['https://salt.tikicdn.com/ts/review/e0/d5/8d/03be315ce488c4b9229973a2fdf9abc9.jpg'],09/05/25,0,277770425,"Hồi Ký Nguyễn Thị Bình - Gia Đình, Bạn Bè và Đất Nước"
Nguyễn Tiến Đạt,5,Giá phải chăng . Đóng gói cẩn thận,[],29/04/25,0,277770425,"Hồi Ký Nguyễn Thị Bình - Gia Đình, Bạn Bè và Đất Nước"
Văn Đức,5,"Giao hàng nhanh, đóng gói cẩn thận",[],28/04/25,0,277770425,"Hồi Ký Nguyễn Thị Bình - Gia Đình, Bạn Bè và Đất Nước"
An Loc Hotel  Spa,1,Shop giao nhầm sách cho mình,[],25/04/25,0,277770425,"Hồi Ký Nguyễn Thị Bình - Gia Đình, Bạn Bè và Đất Nước"
Nguyễn Mạnh Hùng,4,"Sách đẹp, chất liệu giấy tốt, sẽ đọc trong vài ngày. Giao hàng quá chậm.",[],13/05/25,0,277748735,"Hồi Ký Nguyễn Thị Bình - Gia Đình, Bạn Bè, Đất Nước - Omega Plus"
Bùi Huy Hoàng,5,"Sách đẹp, giao quá nhanh😎 5 sao",[],24/04/25,0,277748735,"Hồi Ký Nguyễn Thị Bình - Gia Đình, Bạn Bè, Đất Nước - Omega Plus"
Nguyễn Ngọc Quỳnh Như,5,"Sách mới nguyên seal, đầy đủ phụ kiện, shop đóng gói chu đáo, bọc chống sốc cẩn thận, giao hàng nhanh, vote 5 sao",[],15/05/25,0,277744865,Thái Bạch Kim Tinh Đang Phiền Muộn
Phạm Nhật Thương ,5,"Tiki giao nhanh, đóng gói cẩn thận, sách mới, bìa cán kim tuyến, 10 điểm cho Tiki.",['https://salt.tikicdn.com/ts/review/62/35/18/0534755fcdcc723c073f8e0bd80b4872.jpg'],01/05/25,0,277744865,Thái Bạch Kim Tinh Đang Phiền Muộn
Kiều Thị,3,Theo cảm nhận của mình thì mình thấy sách có vài ví dụ vô duyên và định kiến giới về việc giao tiếp. Ví dụ như nói con gái không biết nấu ăn thì sao mà lấy chồng được. Hơi đáng tiếc ở chỗ đó.,['https://salt.tikicdn.com/ts/review/81/db/59/bd90e065499383346c2f1638109bba22.jpg'],22/04/25,0,277728224,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ"
Mitt Fam,1,"Sách bị rách ở bìa, sau nhiều lần mua sách của tiki thì lần mua cuốn này là trải nghiệm tệ.Ngoài đọc sách , người mua cũng muốn sưu tầm và lưu lại sách, nhưng với 1 cuốn sách bị rách khiến người mua cảm giác rất khó chịu",[],16/03/25,0,277728224,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ"
Dang Ha Phuong,5,"Sách mới và được bọc rất cẩn thận. Chống shock đầy đủ, hộp carton dày dặn chứ không như những lần mua hàng được cảnh báo của các bạn mình đã đặt trước đó. Hoàn toàn hài lòng. Chị shipper lịch sự chu đáo, mình đặt 2 đơn khác nhau mà chị giao liề luôn. Hoàn toàn xứng đáng 5 sao về chất lượng và dịch vụ mà mình được trải nghiệp ở Tiki","['https://salt.tikicdn.com/ts/review/33/6e/1a/4d71ba43f4b276693bf384632e49d6b0.jpg', 'https://salt.tikicdn.com/ts/review/63/48/a4/4dfea86df771d33310cd1a5dbda479f8.jpg']",11/06/23,4,277728224,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ"
Nguyễn Huy Hoàng,5,"Cuốn sách đi vào trọng tâm nội dung về việc giao tiếp, cách nói chuyện, lúc nào nên nói, lúc nào không. Có ví dụ thực tế kèm theo. Một cuốn sách với nội dung dễ hiểu, đơn giản.",[],09/03/25,1,277728224,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ"
Bích Trâm,5,"Mình mua sách mới mà sao shop giao cho mình sách cũ vậy ạ, nếp gấp đã quá cũ rồi ạ. Chờ sáng giờ nhận hàng thất vọng quá, nhưng mình vẫn đánh giá shop 5 sao, hi vọng lần sau lưu ý hơn nhé ạ",['https://salt.tikicdn.com/ts/review/50/7c/e2/0acbe8fa47747877d915f92192e374f0.jpg'],10/06/24,0,277728224,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ"
Trung Trang,5,Sao bắt nhan xet nheiu vay !? Đa đoc hêt đâu ma biet nhân xét nhieu ký tự vay app ?😩,"['https://salt.tikicdn.com/ts/review/d1/ec/f2/f404f7f92ad4a96fc9e2b8e78821a977.jpg', 'https://salt.tikicdn.com/ts/review/c2/b5/0d/d808a402fd63053f99c136a2862abded.jpg']",01/04/25,0,277728224,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ"
Đinh Xuân Tuế,1,"Sản phẩm mới mua, mới bóc khỏi hộp thấy bìa bị sước thế này. Shop bán hàng không rõ là vì đâu. Nhưng sách mua để tặng thế này thì chịu rồi",['https://salt.tikicdn.com/ts/review/bf/12/78/59069bcd8c8a0474999d9c93c13869ab.jpg'],09/10/24,0,277728224,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ"
