user_name,rating,comment,images,created_at,thank_count,product_id,product_name
phan  vương nhật,5,"Gạo ngon, cơm mềm dẻo thơm. Ngon hơn hẳn các loại ST25 khác, giá lại tốt hơn. Gạo chân ái là đây rồi, cảm ơn Tiki 😘","['https://salt.tikicdn.com/ts/review/73/d9/68/cbdab4d40c920732b46a451c09022b71.jpg', 'https://salt.tikicdn.com/ts/review/d7/33/ed/a74cd762bc09ea0b805699036bff8afd.jpg', 'https://salt.tikicdn.com/ts/review/f3/8b/95/2b25239ac11d1a874195f4684323fe3e.jpg']",10/05/25,1,277880353,Gạo ST25 Harmony Vinh Hiển 5KG
Nguyễn Phúc Trọng,5,"Tiki giao nhanh, đóng gói kỹ lưỡng. Giá tốt và freeship 😍 Sẽ tiếp tục ủng hộ 👍","['https://salt.tikicdn.com/ts/review/7e/19/ee/d1a5e8c2cbfb934187448c0f80ec3751.jpg', 'https://salt.tikicdn.com/ts/review/43/94/28/f2e9f49be6dbc1775c149375bf721b81.jpg']",08/05/25,0,277880353,Gạo ST25 Harmony Vinh Hiển 5KG
Ra gì và này nọ,5,Chưa dùng nhưng nhìn là thấy ưng cái bụng.  Khoản đóng gói và giao hàng của Tiki thì cực kỳ cẩn thận. Kể cả Laz hay Shopi cũng phải gọi bằng sư phụ.,[],14/05/25,1,277880353,Gạo ST25 Harmony Vinh Hiển 5KG
Ph Thái,5,"giao nhanh, đóng gói rất kĩ",[],14/05/25,0,277880353,Gạo ST25 Harmony Vinh Hiển 5KG
huynh thy,5,Bao bì gạo đẹp. Chưa ăn nên không biết như thế nào!!!,[],09/05/25,0,277880353,Gạo ST25 Harmony Vinh Hiển 5KG
Trang Nguyễn,5,Gạo ngon và chuẩn sạch,[],07/05/25,1,277880353,Gạo ST25 Harmony Vinh Hiển 5KG
Duyen Le,4,gạo thơm ngon ...,[],17/05/25,0,277880353,Gạo ST25 Harmony Vinh Hiển 5KG
Wi Ha Joon,5,Ngon,[],26/04/25,0,274798897,[Tặng Ca Đá 1L] Combo 3 Bịch NESCAFE 3IN1 Công thức cải tiến - VỊ NGUYÊN BẢN Bịch 46 gói
Nguyễn Thị Thùy Trang,5,Hãy nói nhé bạn mình cũng có thể là do người ta không có ở nhà mình cũng có thể là do người ta không có ở nhà,['https://salt.tikicdn.com/ts/review/61/ea/8c/e823344b9fa79d31e37495c9cdd5b98c.jpg'],04/05/25,0,274273463,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp) - không màng nhựa
Nguyễn Tuấn Thắng,5,Đã nhận hàng Okie. Okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie okie,[],15/03/25,0,274273463,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp) - không màng nhựa
Hoàng Ngọc Hà,5,"Sản phẩm dùng được. Trẻ em thích thương hiệu này, người lớn cũng dùng sản phẩm này. Thích sản phẩm, cảm ơn đã giao hàng.",[],27/10/24,0,274273463,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp) - không màng nhựa
Apple User,5,"Rat hai long
Hang van chuyen ok
Chat luong",['https://salt.tikicdn.com/ts/review/eb/39/39/093a84545bd080e08edc268b1adda47a.jpg'],11/11/24,0,274273463,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp) - không màng nhựa
hua ngoc diem,5,"Giao hành nhanh,sản phẩm rất tốt",[],12/11/24,0,274273463,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp) - không màng nhựa
Sang db,3,Phí ship cao quá...... ...........,[],11/05/24,0,274273463,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp) - không màng nhựa
Ngochiep Tran,5,Rất hài lòng về sản phẩm của tiki cho 5☆,[],24/01/25,0,273930166,[Tặng hộp 4 gói nước cốt cà phê] Combo 2 Bịch Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35 gói Vị Mạnh đặc trưng
Minh Tu Nguyen,5,Tốt,['https://salt.tikicdn.com/ts/review/e2/f0/3f/7ac5380cee0769af3c1f5cad0a127d41.jpg'],12/01/25,0,273930166,[Tặng hộp 4 gói nước cốt cà phê] Combo 2 Bịch Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35 gói Vị Mạnh đặc trưng
Long lobe,5,hài lòng,[],09/01/25,0,273930166,[Tặng hộp 4 gói nước cốt cà phê] Combo 2 Bịch Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35 gói Vị Mạnh đặc trưng
DƯƠNG TRÍ DŨNG,5,Tốt,[],07/10/24,0,273930166,[Tặng hộp 4 gói nước cốt cà phê] Combo 2 Bịch Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35 gói Vị Mạnh đặc trưng
Xuân Thanh,5,Êm nha. Đợt này mua 1 bịch lớn tặng ly đẹp nha với tặng mấy bịch nhỏ luôn. 10đ 😊,[],15/05/25,0,272635007,[Tặng ly sứ cao cấp] Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 46 gói Đậm Thơm Hoàn Hảo
Trương Thủy Tiên,5,"Cà phê thương hiệu Nescafe uống ngon, vị đậm đà, hài hòa. Tiki gói hàng cẩn thận, giao hàng nhanh chóng.",['https://salt.tikicdn.com/ts/review/37/ef/ce/42f6f3b4e7555d7c2df06455bf644123.jpg'],05/11/24,0,272635007,[Tặng ly sứ cao cấp] Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 46 gói Đậm Thơm Hoàn Hảo
Đăng Hoàng Nguyễn,5,"Giao hàng nhanh.
Sản phẩm chất lượng, cà phê vị ngon, ly sứ được tặng đẹp.",[],08/05/25,0,272635007,[Tặng ly sứ cao cấp] Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 46 gói Đậm Thơm Hoàn Hảo
Quốc Cường,5,"Hương vị thơm ngon, giao hàng nhanh, shiper thân thiện",['https://salt.tikicdn.com/ts/review/23/73/e0/6c4bfcf681f7294249bb4213a9d8b0a5.jpg'],15/01/25,0,272635007,[Tặng ly sứ cao cấp] Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 46 gói Đậm Thơm Hoàn Hảo
Hiển Hương,5,Giao hàng rất nhanh uy tín Cảm ơn Shop và đvvc.,[],25/01/25,0,272635007,[Tặng ly sứ cao cấp] Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 46 gói Đậm Thơm Hoàn Hảo
Uyen Nguyen Thanh,5,Ngon nha.,[],23/04/25,0,272635007,[Tặng ly sứ cao cấp] Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 46 gói Đậm Thơm Hoàn Hảo
Hân Phương,5,Ngon lắm hơi đắnh đắng ngọt ngọt,[],12/10/24,0,272635007,[Tặng ly sứ cao cấp] Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 46 gói Đậm Thơm Hoàn Hảo
Huỳnh Danhh,5,Good,[],16/01/25,0,272635007,[Tặng ly sứ cao cấp] Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 46 gói Đậm Thơm Hoàn Hảo
Huỳnh Thanh Phong,4,Tốt,[],09/01/25,0,272635007,[Tặng ly sứ cao cấp] Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 46 gói Đậm Thơm Hoàn Hảo
Hoàng Thị Thanh Hảo,5,san pham tot,['https://salt.tikicdn.com/ts/review/ac/61/a0/b4ba83fcf9ea0cee5660770e9c7799b8.jpg'],18/06/24,0,252564076,[TOP SALE] TỔ YẾN CHƯNG ĐÔNG TRÙNG HẠ THẢO 100% Tổ Yến Thật (Hàm Lượng 30%) (6 Lọ X 70ML) - Đệ Nhất Yến Đảo - Giảm Stress - Giảm Mệt Mỏi - Đẹp Da - Đẩy Lùi Lão Hóa - Điều Hòa Đường Huyết - Ổn Định Huyết Áp - Tăng Sức Đề Kháng - Tăng Sức Đề Kháng
Nguyễn Hồng Ân,5,Ngon lắm,[],22/09/24,0,252564076,[TOP SALE] TỔ YẾN CHƯNG ĐÔNG TRÙNG HẠ THẢO 100% Tổ Yến Thật (Hàm Lượng 30%) (6 Lọ X 70ML) - Đệ Nhất Yến Đảo - Giảm Stress - Giảm Mệt Mỏi - Đẹp Da - Đẩy Lùi Lão Hóa - Điều Hòa Đường Huyết - Ổn Định Huyết Áp - Tăng Sức Đề Kháng - Tăng Sức Đề Kháng
anh thương,5,sản phẩm tốt đúng chất lương mọi người nên mua dùng thử,[],16/10/23,0,252564076,[TOP SALE] TỔ YẾN CHƯNG ĐÔNG TRÙNG HẠ THẢO 100% Tổ Yến Thật (Hàm Lượng 30%) (6 Lọ X 70ML) - Đệ Nhất Yến Đảo - Giảm Stress - Giảm Mệt Mỏi - Đẹp Da - Đẩy Lùi Lão Hóa - Điều Hòa Đường Huyết - Ổn Định Huyết Áp - Tăng Sức Đề Kháng - Tăng Sức Đề Kháng
Lý Kim Dương,5,Uy tín,[],24/06/24,0,252564076,[TOP SALE] TỔ YẾN CHƯNG ĐÔNG TRÙNG HẠ THẢO 100% Tổ Yến Thật (Hàm Lượng 30%) (6 Lọ X 70ML) - Đệ Nhất Yến Đảo - Giảm Stress - Giảm Mệt Mỏi - Đẹp Da - Đẩy Lùi Lão Hóa - Điều Hòa Đường Huyết - Ổn Định Huyết Áp - Tăng Sức Đề Kháng - Tăng Sức Đề Kháng
Manh Ha,5,"Làm quà biếu, rất hợp lý",[],18/03/24,0,252564076,[TOP SALE] TỔ YẾN CHƯNG ĐÔNG TRÙNG HẠ THẢO 100% Tổ Yến Thật (Hàm Lượng 30%) (6 Lọ X 70ML) - Đệ Nhất Yến Đảo - Giảm Stress - Giảm Mệt Mỏi - Đẹp Da - Đẩy Lùi Lão Hóa - Điều Hòa Đường Huyết - Ổn Định Huyết Áp - Tăng Sức Đề Kháng - Tăng Sức Đề Kháng
Giang Pham,5,"Hộp yến đẹp, tốt cho việc đi thăm bệnh",[],13/10/23,2,252564076,[TOP SALE] TỔ YẾN CHƯNG ĐÔNG TRÙNG HẠ THẢO 100% Tổ Yến Thật (Hàm Lượng 30%) (6 Lọ X 70ML) - Đệ Nhất Yến Đảo - Giảm Stress - Giảm Mệt Mỏi - Đẹp Da - Đẩy Lùi Lão Hóa - Điều Hòa Đường Huyết - Ổn Định Huyết Áp - Tăng Sức Đề Kháng - Tăng Sức Đề Kháng
Dương thảo,5,Thơm ngon,[],09/10/23,0,252564076,[TOP SALE] TỔ YẾN CHƯNG ĐÔNG TRÙNG HẠ THẢO 100% Tổ Yến Thật (Hàm Lượng 30%) (6 Lọ X 70ML) - Đệ Nhất Yến Đảo - Giảm Stress - Giảm Mệt Mỏi - Đẹp Da - Đẩy Lùi Lão Hóa - Điều Hòa Đường Huyết - Ổn Định Huyết Áp - Tăng Sức Đề Kháng - Tăng Sức Đề Kháng
vy tú dương,5,Đẹp,[],20/07/23,1,252564076,[TOP SALE] TỔ YẾN CHƯNG ĐÔNG TRÙNG HẠ THẢO 100% Tổ Yến Thật (Hàm Lượng 30%) (6 Lọ X 70ML) - Đệ Nhất Yến Đảo - Giảm Stress - Giảm Mệt Mỏi - Đẹp Da - Đẩy Lùi Lão Hóa - Điều Hòa Đường Huyết - Ổn Định Huyết Áp - Tăng Sức Đề Kháng - Tăng Sức Đề Kháng
Huỳnh Thanh Phong,5,"ok,mong rằng tiki sẽ nắm lại thị phần","['https://salt.tikicdn.com/ts/review/b1/ff/30/53f40133a6f954774207f1ee79bd490d.jpg', 'https://salt.tikicdn.com/ts/review/91/e5/71/f3047d85bc947c2667ca0876fd308e9a.jpg', 'https://salt.tikicdn.com/ts/review/10/a3/24/b9b57359caa3a66e47c3f956279998cf.jpg', 'https://salt.tikicdn.com/ts/review/71/fe/68/69abe38b85ae31e6a6f3f1df67460472.jpg', 'https://salt.tikicdn.com/ts/review/d2/4b/c8/6cd88475fa89efc4afad66341deb233b.jpg']",09/04/25,0,200629272,[Tặng Bộ picnic 2 ly và hộp đựng] Combo 2 Bịch Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35 gói Vị Mạnh đặc trưng
Nguyễn Thị Tho,1,Ảnh bìa sản phẩm là loại tặng kèm 3 gói nhưng giao đến tay khách là loại thường 35g/bịch . Khác nào treo đầu dê bán thịt choá k?,"['https://salt.tikicdn.com/ts/review/3f/77/a0/eded95af12b28b80b3191f1cce073240.jpg', 'https://salt.tikicdn.com/ts/review/ed/f8/71/dd0db991ca89516188cee577386e3e20.jpg']",27/02/25,0,200629272,[Tặng Bộ picnic 2 ly và hộp đựng] Combo 2 Bịch Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35 gói Vị Mạnh đặc trưng
Huỳnh Anh Tân,5,"Hàng date mới, thơm ngon và chất lượng. Đáng mua.👍👍✊","['https://salt.tikicdn.com/ts/review/a9/e8/7b/1aebb3b6ffa85a4f03e888d35faae6be.jpg', 'https://salt.tikicdn.com/ts/review/d6/fc/fa/be4ef23243f60258f07c6456327b4d55.jpg']",16/07/23,0,200629272,[Tặng Bộ picnic 2 ly và hộp đựng] Combo 2 Bịch Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35 gói Vị Mạnh đặc trưng
Trần Cẩm Thu,5,Đóng gói sản phẩm tốt. Giao hàng nhanh chóng. Thường xuyên có quà tặng kèm.,['https://salt.tikicdn.com/ts/review/2a/4b/a0/52cdbf30141b10f9642771460af5eb62.jpg'],07/04/23,0,200629272,[Tặng Bộ picnic 2 ly và hộp đựng] Combo 2 Bịch Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35 gói Vị Mạnh đặc trưng
