user_name,rating,comment,images,created_at,thank_count,product_id,product_name
Hoàng Hà,5,"Shop đóng gói sản phẩm cẩn thận, đơn hàng giao nhanh mk đặt tối ngày 24 mà chiều ngày 25 đã nhận được hàng.","['https://salt.tikicdn.com/ts/review/0b/9f/07/50cd85135a7f770108f04eb9cd2acb7a.jpg', 'https://salt.tikicdn.com/ts/review/71/e2/29/4d04f7aa0958317556e1540ef7ad0ae0.jpg', 'https://salt.tikicdn.com/ts/review/d3/21/36/65211b8fb6a9ede348a070e8fbbbfd1f.jpg']",24/10/24,0,276003962,Nước tẩy trang bí đao Cocoon 500ml
Phương Uyên,5,"Sản phẩm xài ok lắm nha, mua lại lần thứ n rồi. Tẩy trang sạch lắm
Mua ở Tiki thì yên tâm không sợ hành giả rồi",['https://salt.tikicdn.com/ts/review/f5/43/fb/73bd1779c2357ef1d85586bbcc1186ec.jpg'],12/11/2024,0,276003962,Nước tẩy trang bí đao Cocoon 500ml
Lê Tuyền,5,"Nước tẩy trang xài rất sạch, ko bị khô da nên rất thích.
Mốt hết lên Tiki săn giá rẻ tiếp kkk",['https://salt.tikicdn.com/ts/review/54/10/32/f978d69e27fe291820e9f03a726da776.jpg'],28/10/24,0,276003962,Nước tẩy trang bí đao Cocoon 500ml
PHUNG THINH,5,"Đã sử dụng nhiều lần , sản phẩm tốt, giá hợp lý.. Tiki có chương trình khuyến mãi rất tốt.. Cám ơn nhà bán &Tiki ..",[],15/11/24,0,276003962,Nước tẩy trang bí đao Cocoon 500ml
Huynguyen,5,Mong hãng làm nắp kiểu tiện lợi hơn,[],23/04/25,0,276003962,Nước tẩy trang bí đao Cocoon 500ml
Phương lan,5,tốt,[],27/11/24,0,276003962,Nước tẩy trang bí đao Cocoon 500ml
Do Chinh,5,"Giao hàng nhanh, đóng gói cẩn thận",['https://salt.tikicdn.com/ts/review/1a/c3/f0/64bd071fdde7a26a22087074ff728a60.jpg'],5/5/2025,0,276003895,Tẩy Da Chết Mặt Cà Phê Đắk Lắk Cocoon 150ml
 Thu Hiền,5,Đáng mua nhà iu shop lắm,[],24/12/24,0,276003895,Tẩy Da Chết Mặt Cà Phê Đắk Lắk Cocoon 150ml
Tu Le,5,Dùng thích nhé,[],13/12/24,0,276003895,Tẩy Da Chết Mặt Cà Phê Đắk Lắk Cocoon 150ml
Phương lan,5,ttots,[],27/11/24,0,276003895,Tẩy Da Chết Mặt Cà Phê Đắk Lắk Cocoon 150ml
Apple User,5,Tốt,[],23/10/24,0,276003895,Tẩy Da Chết Mặt Cà Phê Đắk Lắk Cocoon 150ml
