user_name,rating,comment,images,created_at,thank_count,product_id,product_name
SHai,5,"xăng xịn, thơm, lên lửa ok, ship nhanh gói kỹ",[],23/01/25,0,275716418,"Bình Xăng Thơm Zippo Loại Xịn Chính Hãng 125ml Dùng Cho Hộp Quẹt Zippo, Bật Lửa Zippo Chuyên Dụng"
Vy Dũng,5,Ok,[],16/01/25,0,275716418,"Bình Xăng Thơm Zippo Loại Xịn Chính Hãng 125ml Dùng Cho Hộp Quẹt Zippo, Bật Lửa Zippo Chuyên Dụng"
Trương Minh Phú,5,"Quần đúng mô tả, chất liệu mỏng nhẹ thoải mái",['https://salt.tikicdn.com/ts/review/54/a2/cf/86113ca8b4c1fb40862b758e1f495a0d.jpg'],06/07/24,0,274527087,"Quần bơi nam 2 lớp cao cấp, quần thể thao nam YUKE-YK12 (Hàng Chính Hãng)"
Nguyễn Chí Phong,5,"Ê siêu đẹp, mặc siêu dễ chịu, giá oke nhất các sàn luôn. 10/10",[],24/08/24,0,274527087,"Quần bơi nam 2 lớp cao cấp, quần thể thao nam YUKE-YK12 (Hàng Chính Hãng)"
Veer Ha,4,Ok,[],24/03/25,0,274527087,"Quần bơi nam 2 lớp cao cấp, quần thể thao nam YUKE-YK12 (Hàng Chính Hãng)"
Nguyễn Chí Phong,5,10/10 giá tuyệt,[],24/08/24,0,274527087,"Quần bơi nam 2 lớp cao cấp, quần thể thao nam YUKE-YK12 (Hàng Chính Hãng)"
Thu xuan,5,"sản phẩm đúng với miêu tả
Giao hàng nhanh .gói hàng rất kĩ .đẹp sản phẩm",['https://salt.tikicdn.com/ts/review/7d/c9/aa/fd8d3897879b06bb161622a6c564a234.jpg'],23/10/24,0,274437898,Bộ Kìm Bóp Tay Đếm Số Điện Tử - Dụng Cụ Tập Gym Tập Cơ Bắp Cổ Tay Cao Cấp Tại Nhà Điều Chỉnh Lực Từ 10-100kg Phiên Bản Nâng Cấp- Hàng chính hãng ( Màu ngẫu nhiên)
Nguyễn Nông Phú,5,Ok,[],10/11/24,0,274437898,Bộ Kìm Bóp Tay Đếm Số Điện Tử - Dụng Cụ Tập Gym Tập Cơ Bắp Cổ Tay Cao Cấp Tại Nhà Điều Chỉnh Lực Từ 10-100kg Phiên Bản Nâng Cấp- Hàng chính hãng ( Màu ngẫu nhiên)
Huỳnh Phúc Minh Trang ,5,"Chất lượng tốt, kích thước và độ dày đúng như quảng cáo.",[],25/10/24,0,273393828,"BG Thảm tập Yoga,GYM chuyên dụng dày 15mm NBR nguyên khối, độ đài hồi tốt, chống lún, Chống trơn trượt, độ bám cao, ngăn ngừa hôi và ẩm mốc (hàng nhập khẩu)"
Võ Minh Hưng,5,Giao rất nhanh . Sản phẩm rất tốt,['https://salt.tikicdn.com/ts/review/92/8c/59/22f490a97ae8e5c2d25e221c5654e773.jpg'],31/10/23,1,272620678,Gel Năng Lượng Dạng Nước Cho Sự Bền Bỉ GU Liquid Energy gói 60g
Tran Mai Phuong,1,Hàng quảng cáo xuất xứ Việt Nam nhưng hàng nhận được lại là Trung Quốc. Trên bao bì có ghi tặng kèm mũ nhưng giao hàng không có.,"['https://salt.tikicdn.com/ts/review/a2/e2/31/484e9d4006b64f6de69890b49fec0e0e.jpg', 'https://salt.tikicdn.com/ts/review/3c/8a/0c/52645caf8bbb993a061b6d4327c2fd2e.jpg', 'https://salt.tikicdn.com/ts/review/90/65/16/2ed3cd8419e3a2378835011a58e84858.jpg']",12/03/25,0,262018137,"Kính Bơi Tráng Gương kèm bịt tai cao cấp VinBuy chống sương mù, chống tia UV Hàng chính hãng - Tặng kèm nón bơi Silicon (Màu ngẫu nhiên)"
Võ anh thư,5,"Hàng chất lượng như ảnh quảng cáo, kính ôm vừa khít phần mắt, Kiếng bơi đẹp, nhìn rõ, dễ dàng vệ sinh, không vào nước, vừa khít mặt, tương xứng giá tiền, còn được tặng kèm cả mũ bơi nữa, quá là ok, thanks shop","['https://salt.tikicdn.com/ts/review/91/95/7e/a11f90f551e73a11f247ab2f096229d8.jpg', 'https://salt.tikicdn.com/ts/review/9a/8d/60/9b131cf3d6ca3b22758312e85d894f7d.jpg', 'https://salt.tikicdn.com/ts/review/88/b4/c4/8303d2ee55764407c901fba9f1380e02.jpg', 'https://salt.tikicdn.com/ts/review/4a/c6/ac/3bb5e7bc573c463d2eea7a90f91387b4.jpg']",15/06/23,1,262018137,"Kính Bơi Tráng Gương kèm bịt tai cao cấp VinBuy chống sương mù, chống tia UV Hàng chính hãng - Tặng kèm nón bơi Silicon (Màu ngẫu nhiên)"
Do Ly,5,Đúng như miêu tả,"['https://salt.tikicdn.com/ts/review/6b/9d/9d/7def148a684375da393a5589e9419100.jpg', 'https://salt.tikicdn.com/ts/review/31/fe/e7/8b1e460596ba52b376b87b13e1684121.jpg', 'https://salt.tikicdn.com/ts/review/1e/08/d8/464fdd3088a639ed7d0bfb32dd5a8c16.jpg', 'https://salt.tikicdn.com/ts/review/fb/09/3c/6062b7cc5cffa215ab95f78e20ac2839.jpg', 'https://salt.tikicdn.com/ts/review/a6/69/d5/fb945f70473675bb2b48907a3d638780.jpg']",10/05/25,0,262018137,"Kính Bơi Tráng Gương kèm bịt tai cao cấp VinBuy chống sương mù, chống tia UV Hàng chính hãng - Tặng kèm nón bơi Silicon (Màu ngẫu nhiên)"
Võ anh thư,5,"mẫu mã đẹp,  chắc chắn, bơi rất kín không bị nước vào mắt, giao nhanh, đóng gói cẩn thận","['https://salt.tikicdn.com/ts/review/bb/9a/66/49e0a2a5fe60b9aa6c9900324fe90ed8.jpg', 'https://salt.tikicdn.com/ts/review/6d/88/a7/3f39605cf2a2b70bb8a2f161cf29fb88.jpg', 'https://salt.tikicdn.com/ts/review/7e/c9/f4/710393c1a1973a85aace646e03277e4d.jpg', 'https://salt.tikicdn.com/ts/review/cf/96/93/ac14826d473d2e82221a38a6d29be6cf.jpg']",15/06/23,1,262018137,"Kính Bơi Tráng Gương kèm bịt tai cao cấp VinBuy chống sương mù, chống tia UV Hàng chính hãng - Tặng kèm nón bơi Silicon (Màu ngẫu nhiên)"
Phạm Nhật Thắng,5,"Giá rẻ mà quá xịn xò so với giá, 5 sao vẫn còn ít, rất hài lòng luôn, hôm sau cần để đi biển đặt giao nhanh sáng hôm sau có luôn.",[],19/08/23,0,262018137,"Kính Bơi Tráng Gương kèm bịt tai cao cấp VinBuy chống sương mù, chống tia UV Hàng chính hãng - Tặng kèm nón bơi Silicon (Màu ngẫu nhiên)"
Phan Văn Thiền,4,Giá trị sử dụng=giá trị tiền mua,[],11/10/24,0,262018137,"Kính Bơi Tráng Gương kèm bịt tai cao cấp VinBuy chống sương mù, chống tia UV Hàng chính hãng - Tặng kèm nón bơi Silicon (Màu ngẫu nhiên)"
