user_name,rating,comment,images,created_at,thank_count,product_id,product_name
Nguyễn Thu Hà,5,Nhiệt lên nhanh đều chỉ trong khoảng 30s là có thể bắt đầu ủi ko phức tạp quần áo là phẳng phiu,['https://salt.tikicdn.com/ts/review/b9/d9/71/107386e3892a57fd8ab0d1f59265d2a1.jpg'],21/04/25,0,277026999,"Bàn là hơi nước cầm tay SOKANY SK-11045 công suất lớn 1200W, là siêu phẳng, siêu nhanh, nhỏ gọn tiện lợi cho cả gia đình -HÀNG CHÍNH HÃNG"
Phương Uyên,5,Dễ ủi nhất là với áo sơ mi công sở an toàn cho vải phù hợp với đồ nhạy cảm,['https://salt.tikicdn.com/ts/review/a5/9d/26/fad5677e54212e680534d63389079771.jpg'],21/04/25,0,277026999,"Bàn là hơi nước cầm tay SOKANY SK-11045 công suất lớn 1200W, là siêu phẳng, siêu nhanh, nhỏ gọn tiện lợi cho cả gia đình -HÀNG CHÍNH HÃNG"
Hoàng Đức Minh,5,Ko gây hư tổn quần áo đánh bay mọi nếp nhăn giữ quần áo phẳng,['https://salt.tikicdn.com/ts/review/90/50/7a/f5f78a2e5cc7e15a05f2a1fc0f9c0ea8.jpg'],21/04/25,0,277026999,"Bàn là hơi nước cầm tay SOKANY SK-11045 công suất lớn 1200W, là siêu phẳng, siêu nhanh, nhỏ gọn tiện lợi cho cả gia đình -HÀNG CHÍNH HÃNG"
Hoàng Chung Sơn,5,Ủi thẳng nhanh tay cầm có thể gập gọn tiện 100₫ chất lượng,['https://salt.tikicdn.com/ts/review/7e/6f/a3/b2a62def7df7e7b11eaa833033a9054b.jpg'],21/04/25,0,277026999,"Bàn là hơi nước cầm tay SOKANY SK-11045 công suất lớn 1200W, là siêu phẳng, siêu nhanh, nhỏ gọn tiện lợi cho cả gia đình -HÀNG CHÍNH HÃNG"
Đặng Trung Sơn,5,Ko làm xù vải hơi nước nhẹ nhàng mà vẫn phẳng đẹp,['https://salt.tikicdn.com/ts/review/3d/36/89/10ce6e819df94287e0088e843c0ca4f6.jpg'],21/04/25,0,277026999,"Bàn là hơi nước cầm tay SOKANY SK-11045 công suất lớn 1200W, là siêu phẳng, siêu nhanh, nhỏ gọn tiện lợi cho cả gia đình -HÀNG CHÍNH HÃNG"
Lĩnh phùng đức,5,Làm phẳng nhanh tiết kiệm thời gian an toàn cho quần áo,['https://salt.tikicdn.com/ts/review/0e/ae/4c/89548238ce887a330c9603b3fd9fd5fb.jpg'],21/04/25,0,277026999,"Bàn là hơi nước cầm tay SOKANY SK-11045 công suất lớn 1200W, là siêu phẳng, siêu nhanh, nhỏ gọn tiện lợi cho cả gia đình -HÀNG CHÍNH HÃNG"
Hoàng Đức Minh,5,Ko cần ra salon mag vẫn giữ được nếp tóc chân tóc giúp tóc mau khô sáng sớm hoặc đêm muộn,['https://salt.tikicdn.com/ts/review/05/dd/05/4154fe7b53862b29eb1b279c7d521185.jpg'],21/04/25,0,277024305,"Máy sấy tóc ion âm 2 chiều nóng lạnh SOKANY SK14019 công suất 2400W,  chăm sóc tóc, bảo vệ tóc khỏi hư tổn - HÀNG CHÍNH HÃNG"
Nguyễn Thu Hà,5,Trọng lượng nhẹ dễ bỏ vào vali mang đi du lịch sấy trong 1 thời gian ngắn ko làm khô tóc,['https://salt.tikicdn.com/ts/review/6b/7b/db/d2424a3caa3ebac9b602646fc9606a8d.jpg'],21/04/25,0,277024305,"Máy sấy tóc ion âm 2 chiều nóng lạnh SOKANY SK14019 công suất 2400W,  chăm sóc tóc, bảo vệ tóc khỏi hư tổn - HÀNG CHÍNH HÃNG"
Phương Uyên,5,Sấy tóc tốt mình còn dùng em nó để sấy quần áo ẩm nữa hiệu quả lắm nhé,['https://salt.tikicdn.com/ts/review/57/10/98/61839742a2f69c17e01d3ee3a65a65be.jpg'],21/04/25,0,277024305,"Máy sấy tóc ion âm 2 chiều nóng lạnh SOKANY SK14019 công suất 2400W,  chăm sóc tóc, bảo vệ tóc khỏi hư tổn - HÀNG CHÍNH HÃNG"
Đặng Trung Sơn,5,Hoạt động êm ái không ồn lớn hạn chế tình trạng mất nếp tóc,['https://salt.tikicdn.com/ts/review/5d/87/1f/74c14a7bde4701c8c2b733380dc95363.jpg'],21/04/25,0,277024305,"Máy sấy tóc ion âm 2 chiều nóng lạnh SOKANY SK14019 công suất 2400W,  chăm sóc tóc, bảo vệ tóc khỏi hư tổn - HÀNG CHÍNH HÃNG"
