user_name,rating,comment,created_at,thank_count,product_id,images
Trần Quang Bút,5,,29/04/25,0,277809376,NULL
Bùi Huy Hoàng,5,"Sách đẹp, giao quá nhanh 5 sao",24/04/25,0,277748735,NULL
Hoà Nguyễn,5,,9/5/2025,0,277748735,NULL
Ngô Thanh Tùng,5,,7/5/2025,0,277748735,NULL
Đàm Quang Hồng Hải,5,,27/04/25,0,277748735,NULL
Nguyen Q Huy,5,,22/04/25,0,277748735,NULL
Kiều Thị,3,Theo cảm nhận của mình thì mình thấy sách có vài ví dụ vô duyên và định kiến giới về việc giao tiếp. Ví dụ như nói con gái không biết nấu ăn thì sao mà lấy chồng được. Hơi đáng tiếc ở chỗ đó.,22/04/25,0,277728224,https://salt.tikicdn.com/ts/review/81/db/59/bd90e065499383346c2f1638109bba22.jpg
Mitt Fam,1,"Sách bị rách ở bìa, sau nhiều lần mua sách của tiki thì lần mua cuốn này là trải nghiệm tệ.Ngoài đọc sách , người mua cũng muốn sưu tầm và lưu lại sách, nhưng với 1 cuốn sách bị rách khiến người mua cảm giác rất khó chịu",16/03/25,0,277728224,NULL
Dang Ha Phuong,5,"Sách mới và được bọc rất cẩn thận. Chống shock đầy đủ, hộp carton dày dặn chứ không như những lần mua hàng được cảnh báo của các bạn mình đã đặt trước đó. Hoàn toàn hài lòng. Chị shipper lịch sự chu đáo, mình đặt 2 đơn khác nhau mà chị giao liề luôn. Hoàn toàn xứng đáng 5 sao về chất lượng và dịch vụ mà mình được trải nghiệp ở Tiki",11/6/2023,4,277728224,"https://salt.tikicdn.com/ts/review/33/6e/1a/4d71ba43f4b276693bf384632e49d6b0.jpg,https://salt.tikicdn.com/ts/review/63/48/a4/4dfea86df771d33310cd1a5dbda479f8.jpg"
Nguyễn Huy Hoàng,5,"Cuốn sách đi vào trọng tâm nội dung về việc giao tiếp, cách nói chuyện, lúc nào nên nói, lúc nào không. Có ví dụ thực tế kèm theo. Một cuốn sách với nội dung dễ hiểu, đơn giản.",9/3/2025,1,277728224,NULL
Bích Trâm,5,"Mình mua sách mới mà sao shop giao cho mình sách cũ vậy ạ, nếp gấp đã quá cũ rồi ạ. Chờ sáng giờ nhận hàng thất vọng quá, nhưng mình vẫn đánh giá shop 5 sao, hi vọng lần sau lưu ý hơn nhé ạ",10/6/2024,0,277728224,https://salt.tikicdn.com/ts/review/50/7c/e2/0acbe8fa47747877d915f92192e374f0.jpg
Trung Trang,5,Sao bắt nhan xet nheiu vay !? Đa đoc hêt đâu ma biet nhân xét nhieu ký tự vay app ?,1/4/2025,0,277728224,"https://salt.tikicdn.com/ts/review/d1/ec/f2/f404f7f92ad4a96fc9e2b8e78821a977.jpg,https://salt.tikicdn.com/ts/review/c2/b5/0d/d808a402fd63053f99c136a2862abded.jpg"
Đinh Xuân Tuế,1,"Sản phẩm mới mua, mới bóc khỏi hộp thấy bìa bị sước thế này. Shop bán hàng không rõ là vì đâu. Nhưng sách mua để tặng thế này thì chịu rồi",9/10/2024,0,277728224,https://salt.tikicdn.com/ts/review/bf/12/78/59069bcd8c8a0474999d9c93c13869ab.jpg
Dang Thi Thu Hoai,5,"Sách bìa đẹp, shop đóng gói cẩn thận, giao hàng nhanh, giá tốt, chất lượng, nên mua mn ạh. Tks shop.",24/03/25,0,277728224,https://salt.tikicdn.com/ts/review/4b/a5/5f/13638856c7151d8107c23ec1849bd4e6.jpg
NGÔ MINH THẮNG,5,"Sách bọc khá cẩn thận, giấy in đẹp, chữ sắc nét",8/10/2024,0,277728224,"https://salt.tikicdn.com/ts/review/f3/8a/62/ef27e5c23d3efcce1a8b12e2bde2fd00.jpg,https://salt.tikicdn.com/ts/review/16/29/78/8b52c91724b68675cd8a6eaa76ebe38c.jpg,https://salt.tikicdn.com/ts/review/54/c6/f1/4c9d80776496a7ceb3cd603b12e6ddd9.jpg"
nhat truong,5,"Shop đóng gói cẩn thận, giao hàng đúng theo thời gian dự kiến. cảm ơn shop!",5/7/2023,3,277728224,"https://salt.tikicdn.com/ts/review/e8/61/cd/182a9f39faec37fe29a480e61ae3c789.jpg,https://salt.tikicdn.com/ts/review/c1/7c/4d/4d70caf59f693e55baf03a932b68d6be.jpg,https://salt.tikicdn.com/ts/review/e7/d9/02/69b998ae302cfe1e61c3ca190d55fa84.jpg,https://salt.tikicdn.com/ts/review/53/26/80/644278e89dbf179171bf6b2b4c526807.jpg,https://salt.tikicdn.com/ts/review/82/60/bb/bdd810ac646853a00cbe962ec1b26f66.jpg"
Nguyen Kim Hai,5,"Đó là sự bình tỉnh suy xét đế xử lý tình huống, tác giả là người rất thông tâm lý học.",13/12/24,0,277728224,NULL
Khanh Linh,5,Giao hàng siêu nhanh Đóng gói siêu cẩn thận,8/8/2024,0,277728224,"https://salt.tikicdn.com/ts/review/6e/44/e6/dd74b332a1e9130c07502471f7550748.jpg,https://salt.tikicdn.com/ts/review/3b/62/f6/d661521eb175a0cd29c4bfc351ad87dc.jpg"
Hoang Khuat Huy,5,"sách nói về kĩ năng nói chuyện, giao tiếp xã hội. Đọc cuốn này có thể cải thiện được khá nhiều. Dễ đọc và dễ hiểu. Mình mới đọc được nửa nên chưa đánh giá chi tiết nội dung đc. Mình cảm ơn",9/5/2023,3,277728224,NULL
Nguyễn Minh Vương,5,"giao hàng nhanh, sách nội dung hay",17/12/24,0,277728224,https://salt.tikicdn.com/ts/review/11/d5/84/dd65c97377b2373359c1acd9340ad34f.jpg
Huỳnh Cát Vy,5,"Nội dung sách gần gũi với các chủ đề cuộc sống, giúp người đọc dễ hình dung và ứng dụng theo",14/07/24,0,277728224,NULL
Lê Phúc Khang,5,"Nội dung rất hay, đáng để đọc nhiều lần để suy ngẫm ứng dụng",24/06/24,0,277728224,https://salt.tikicdn.com/ts/review/11/63/4a/bf6a1c05449d19ebbb8058746d44410b.jpg
